region,clientLayoutId,index,word
0,83,1565,4751
0,83,1613,1687
0,83,1661,1695
0,83,1709,742
0,83,1757,4395
0,83,1805,4395
0,83,1853,466
0,83,1901,473
0,83,1566,4749
0,83,1614,1759
0,83,1662,1767
0,83,1710,750
0,83,1758,4396
0,83,1806,4396
0,83,1854,4396
0,83,1902,4396
0,83,1519,12741
0,83,1567,12741
0,83,1615,13064
0,83,1663,1771
0,83,1711,1748
0,83,1759,1756
0,83,1807,770
0,83,1855,770
0,83,1903,770
0,83,1520,12742
0,83,1568,12742
0,83,1616,13065
0,83,1664,1772
0,83,1712,1749
0,83,1760,1757
0,83,1808,1473
0,83,1856,1473
0,83,1904,1473
0,83,1521,12743
0,83,1569,12743
0,83,1617,13066
0,83,1665,1773
0,83,1713,1750
0,83,1761,1758
0,83,1809,771
0,83,1857,771
0,83,1905,771
0,83,1522,4558
0,83,1570,4751
0,83,1618,1743
0,83,1666,1751
0,83,1714,751
0,83,1762,4394
0,83,1810,4394
0,83,1858,4394
0,83,1906,4394
0,83,1523,4558
0,83,1571,4749
0,83,1619,1678
0,83,1667,1711
0,83,1715,1766
0,83,1907,1488
0,83,1804,1490
0,83,1763,1296
0,83,1764,1297
0,83,1811,1304
0,83,1812,1305
0,83,1859,1323
0,83,1860,1323
1,88,276,516
1,88,279,514
1,88,278,549
1,88,255,859
1,88,256,859
1,88,280,514
1,18,123,12289
1,18,124,12289
1,18,125,12289
1,18,126,12289
1,18,173,12289
1,18,174,12289
1,18,175,12289
1,18,176,12289
1,19,457,12289
1,19,458,12289
1,19,459,12289
1,19,460,12289
1,19,461,12289
1,19,537,12289
1,19,538,12289
1,19,539,12289
1,19,540,12289
1,19,541,12289
1,19,617,12303
1,19,619,12303
1,19,620,12303
1,19,697,1222
1,19,698,12303
1,19,699,1222
1,19,700,1222
1,19,778,1222
1,19,780,1222
1,20,273,12289
1,20,274,12292
1,20,275,12289
1,20,276,12292
1,20,277,12289
1,20,313,12289
1,20,314,12289
1,20,315,12292
1,20,316,12289
1,20,317,12292
1,20,366,12301
1,20,367,12301
1,20,406,12289
1,20,407,12742
1,20,408,1523
1,20,409,1509
1,20,410,1508
1,20,411,1509
1,20,412,1508
1,20,413,1509
1,20,444,12301
1,20,445,12742
1,20,446,12743
1,20,447,1494
1,20,448,1493
1,20,449,12619
1,20,450,13644
1,20,451,13644
1,20,452,13644
1,20,453,12621
1,20,484,12301
1,20,485,1494
1,20,486,1493
1,20,487,1500
1,20,488,1501
1,20,489,12563
1,20,490,12564
1,20,491,12564
1,20,492,12564
1,20,493,12565
1,20,523,12750
1,20,524,12751
1,20,525,1500
1,20,526,1501
1,20,527,1492
1,20,528,1493
1,20,529,12619
1,20,530,13644
1,20,531,13644
1,20,532,13644
1,20,533,12621
1,20,563,1494
1,20,564,1493
1,20,565,1492
1,20,566,1493
1,20,567,1508
1,20,568,1511
1,20,569,12563
1,20,570,12564
1,20,571,12564
1,20,572,12564
1,20,573,12565
1,20,603,1608
1,20,609,12289
1,20,610,12289
1,20,611,12289
1,20,612,12289
1,20,649,12807
1,20,650,12807
1,20,651,12750
1,20,652,12751
1,20,689,12807
1,20,690,12807
1,20,691,1494
1,20,692,1495
1,20,729,12807
1,20,730,12807
1,20,811,1510
1,20,812,1511
1,20,841,1501
1,20,880,1492
1,20,881,1493
1,20,920,1500
1,20,921,1501
1,20,961,1493
1,20,1042,12555
1,20,1043,13580
1,20,1044,12557
1,20,1082,12563
1,20,1083,12564
1,20,1084,12565
1,20,1085,12289
1,20,1094,1353
1,20,1095,1353
1,20,1096,1353
1,20,1097,1088
1,20,1098,1088
1,20,1099,1353
1,20,1100,1353
1,20,1101,1353
1,20,1102,1353
1,20,1103,1088
1,20,1104,1088
1,20,1105,1088
1,20,1106,1353
1,20,1107,1353
1,20,1108,1353
1,20,1109,1353
1,20,1110,1088
1,20,1111,1088
1,20,1122,1088
1,20,1123,1088
1,20,1124,1088
1,20,1125,1088
1,20,1126,1088
1,20,1127,1088
1,20,1128,1353
1,20,1129,1353
1,20,1132,1353
1,20,1133,1353
1,20,1134,1039
1,20,1135,1038
1,20,1136,1038
1,20,1139,1038
1,20,1140,1038
1,20,1141,1038
1,20,1142,1038
1,20,1146,1039
1,20,1147,1038
1,20,1148,1039
1,20,1149,1039
1,20,1201,1493
1,20,1621,1222
1,20,1622,1222
1,20,1623,1222
1,20,1624,1222
1,20,1625,1222
1,20,1661,1046
1,20,1662,1046
1,20,1663,1046
1,20,1664,1046
1,20,1665,1046
1,20,1701,12289
1,20,1702,12289
1,20,1703,12289
1,20,1704,12289
1,20,1705,12289
1,26,404,1223
1,26,405,1223
1,26,406,1223
1,26,407,1223
1,26,444,1223
1,26,445,1223
1,26,446,1223
1,26,447,1046
1,26,448,12289
1,26,484,1223
1,26,485,1223
1,26,486,1046
1,26,487,12289
1,26,488,12289
1,26,524,1223
1,26,525,1046
1,26,564,1223
1,26,604,1046
1,27,176,1137
1,27,177,1137
1,27,178,1137
1,27,179,1137
1,27,180,1137
1,27,181,1137
1,27,182,1137
1,27,183,1137
1,27,184,1137
1,27,185,1137
1,27,216,1145
1,27,217,1145
1,27,218,1145
1,27,219,1145
1,27,220,1145
1,27,221,1145
1,27,222,1145
1,27,223,1145
1,27,224,1145
1,27,225,1161
1,27,257,12289
1,27,258,12289
1,27,259,12289
1,27,260,12289
1,27,261,12289
1,27,262,12289
1,27,263,12289
1,27,264,12289
1,28,226,1222
1,28,227,1222
1,28,228,1222
1,28,229,1222
1,28,230,1222
1,28,231,1222
1,28,266,1222
1,28,267,1222
1,28,268,1222
1,28,269,1222
1,28,270,1047
1,28,271,1047
1,28,306,1047
1,28,307,1047
1,28,308,1047
1,28,309,1047
1,28,310,12289
1,28,311,12289
1,30,1710,1851
1,30,1711,12289
1,30,1712,12289
1,30,1750,1851
1,30,1751,12289
1,30,1752,12289
1,30,1790,1851
1,30,1791,12289
