1;-1;0;Viridian Forest;Grass;10;10;Any;256;false;false;Lure;Lure;Lure;Viridian Forest
2;-1;0;Route 5;Grass;19;19;Any;256;false;false;Lure;Lure;Lure;Route 5
3;-1;0;Berry Forest;Grass;48;48;Any;256;false;false;Lure;Lure;Lure;Berry Forest
4;0;0;Route 3;Grass;12;12;Any;256;false;false;Lure;Lure;Lure;Route 3
5;0;0;Rock Tunnel;Cave;26;26;Any;256;false;false;Lure;Lure;Lure;Rock Tunnel (1F)
5;0;0;Rock Tunnel;Cave;26;26;Any;256;false;false;Lure;Lure;Lure;Rock Tunnel (B1F)
6;0;0;Sevault Canyon;Grass;56;56;Any;256;false;false;Lure;Lure;Lure;Sevault Canyon
7;-1;0;Route 24;Grass;17;17;Any;256;false;false;Lure;Lure;Lure;Route 24
8;-1;0;Seafoam Islands;Cave;41;41;Any;256;false;false;Lure;Lure;Lure;Seafoam Islands (1F)
8;-1;0;Seafoam Islands;Cave;41;41;Any;256;false;false;Lure;Lure;Lure;Seafoam Islands (B1F)
8;-1;0;Seafoam Islands;Cave;41;41;Any;256;false;false;Lure;Lure;Lure;Seafoam Islands (B2F)
8;-1;0;Seafoam Islands;Cave;41;41;Any;256;false;false;Lure;Lure;Lure;Seafoam Islands (B3F)
8;-1;0;Seafoam Islands;Cave;41;41;Any;256;false;false;Lure;Lure;Lure;Seafoam Islands (B4F)
9;-1;0;Cerulean Cave;Cave;59;59;Any;256;false;false;Lure;Lure;Lure;Cerulean Cave (1F)
9;-1;0;Cerulean Cave;Cave;61;61;Any;256;false;false;Lure;Lure;Lure;Cerulean Cave (2F)
9;-1;0;Cerulean Cave;Cave;63;63;Any;256;false;false;Lure;Lure;Lure;Cerulean Cave (B1F)
10;-1;0;Pattern Bush;Grass;50;52;Spring;0;false;false;5%;5%;--;Pattern Bush
10;-1;0;Pattern Bush;Grass;50;52;Summer;0;false;false;5%;5%;--;Pattern Bush
10;-1;0;Pattern Bush;Grass;50;52;Autumn;0;false;false;5%;5%;--;Pattern Bush
