# Client tool items that teach a move, from the client's own tools table (DexPatch dumptoolsfile -> monmmo-tools.csv): item id, move id, name.
339,15,HM
340,19,HM Fly
341,57,HM Surf
342,70,HM Strength
343,148,HM Flash
344,249,HM Rock Smash
345,127,HM Waterfall
346,291,HM Dive
1297,249,Battle Box Expansion Drive
1298,148,Pokémon
1600,264,Unknown Item
1601,352,Unknown Item
1602,331,Unknown Item
1603,202,Unknown Item
1604,231,Unknown Item
1605,351,Unknown Item
1606,290,Unknown Item
1607,211,Unknown Item
1608,285,Unknown Item
1609,289,Unknown Item
1610,355,Unknown Item
1611,362,Unknown Item
1612,203,Unknown Item
1613,406,Unknown Item
1614,409,Unknown Item
1615,318,Unknown Item
1616,278,Unknown Item
1617,419,Unknown Item
1618,446,Unknown Item
1619,445,Unknown Item
1620,399,Unknown Item
1621,214,Unknown Item
1622,363,Unknown Item
1623,141,Unknown Item
1624,267,Unknown Item
1625,403,Unknown Item
1626,405,Unknown Item
1627,408,Unknown Item
1628,13,Unknown Item
1629,413,Unknown Item
1630,18,Unknown Item
1631,417,Unknown Item
1632,422,Unknown Item
1633,423,Unknown Item
1634,424,Unknown Item
1635,427,Unknown Item
1636,32,Unknown Item
1637,36,Unknown Item
1638,437,Unknown Item
1639,438,Unknown Item
1640,42,Unknown Item
1641,440,Unknown Item
1642,55,Unknown Item
1643,56,Unknown Item
1644,61,Unknown Item
1645,66,Unknown Item
1646,72,Unknown Item
1647,82,Unknown Item
1648,83,Unknown Item
1649,484,Unknown Item
1650,486,Unknown Item
1651,90,Unknown Item
1652,97,Unknown Item
1653,99,Unknown Item
1654,100,Unknown Item
1655,500,Unknown Item
1656,506,Unknown Item
1657,116,Unknown Item
1658,117,Unknown Item
1659,121,Unknown Item
1660,130,Unknown Item
1661,133,Unknown Item
1662,534,Unknown Item
1663,535,Unknown Item
1664,541,Unknown Item
1665,542,Unknown Item
1666,149,Unknown Item
1667,161,Unknown Item
1668,174,Unknown Item
1669,179,Unknown Item
1670,184,Unknown Item
1671,191,Unknown Item
1672,192,Unknown Item
1673,197,Unknown Item
1674,204,Unknown Item
1675,224,Unknown Item
1676,225,Unknown Item
1677,226,Unknown Item
1678,227,Unknown Item
1679,230,Unknown Item
1680,242,Unknown Item
1681,248,Unknown Item
1682,250,Unknown Item
1683,251,Unknown Item
1684,279,Unknown Item
1685,286,Unknown Item
1686,103,Unknown Item
1687,299,Unknown Item
1688,311,Unknown Item
1689,313,Unknown Item
1690,322,Unknown Item
1691,328,Unknown Item
1692,330,Unknown Item
1693,333,Unknown Item
1694,341,Unknown Item
1695,345,Unknown Item
1696,348,Unknown Item
1697,349,Unknown Item
1698,350,Unknown Item
1699,370,Unknown Item
1700,372,Unknown Item
1701,384,Unknown Item
1702,385,Unknown Item
1703,6,Unknown Item
1704,390,Unknown Item
1705,394,Unknown Item
1706,396,Unknown Item
1707,68,Unknown Item
1708,118,Unknown Item
1709,25,Unknown Item
1710,5,Unknown Item
1711,38,Unknown Item
1712,34,Unknown Item
1713,135,Unknown Item
1714,205,Unknown Item
1715,223,Unknown Item
1716,102,Unknown Item
1717,210,Unknown Item
1718,69,Unknown Item
1719,189,Unknown Item
1720,60,Unknown Item
1721,109,Unknown Item
1722,342,Unknown Item
1723,232,Unknown Item
1724,129,Unknown Item
1725,196,Unknown Item
1726,314,Unknown Item
1727,101,Unknown Item
1728,492,Unknown Item
1729,402,Unknown Item
1730,442,Unknown Item
1731,441,Unknown Item
1732,334,Unknown Item
1733,529,Unknown Item
1734,271,Unknown Item
1735,366,Unknown Item
1736,304,Unknown Item
1737,257,Unknown Item
1738,414,Unknown Item
1739,200,Unknown Item
1740,434,Unknown Item
1741,7,Unknown Item
1742,8,Unknown Item
1743,9,Unknown Item
1744,428,Unknown Item
1745,270,Unknown Item
1746,67,Unknown Item
1747,491,Unknown Item
1748,29,Unknown Item
1749,120,Unknown Item
1750,276,Unknown Item
1751,268,Unknown Item
1752,114,Unknown Item
1753,180,Unknown Item
1754,356,Unknown Item
1755,282,Unknown Item
1756,450,Unknown Item
1757,162,Unknown Item
1758,410,Unknown Item
1759,253,Unknown Item
1760,283,Unknown Item
1761,220,Unknown Item
1762,297,Unknown Item
1763,319,Unknown Item
