20010;TM Bind
20035;TM String Shot
20054;TM Defense Curl
20081;TM Nightmare
20082;TM Snore
20106;TM Heal Bell
20119;TM Synthesis
20121;TM Twister
20144;TM Role Play
20146;TM Magic Coat
20159;TM Ice Ball
20161;TM Blast Burn
20162;TM Hydro Cannon
20171;TM Signal Beam
20178;TM Block
20180;TM Frenzy Plant
20182;TM Bounce
20185;TM Covet
20186;TM Volt Tackle
20207;TM Gastro Acid
20210;TM Last Resort
20211;TM Worry Seed
20212;TM Sucker Punch
20214;TM Magnet Rise
20220;TM Aqua Tail
20260;TM Wonder Room
20264;TM Magic Room
20273;TM After You
20285;TM Water Pledge
20286;TM Fire Pledge
20287;TM Grass Pledge
20302;TM Relic Song
20303;TM Secret Sword
20305;TM Phantom Force
20306;TM Petal Blizzard
20307;TM Disarming Voice
20308;TM Draining Kiss
20309;TM Grassy Terrain
20310;TM Misty Terrain
20311;TM Play Rough
20312;TM Confide
20313;TM Mystical Fire
20314;TM Eerie Impulse
20315;TM Venom Drench
20316;TM Electric Terrain
20317;TM Dazzling Gleam
20318;TM Baby-Doll Eyes
20319;TM Infestation
20320;TM Power-Up Punch
20321;TM Dragon Ascent
20322;TM Darkest Lariat
20323;TM High Horsepower
20324;TM Solar Blade
20325;TM Laser Focus
20326;TM Throat Chop
20327;TM Pollen Puff
20328;TM Psychic Terrain
20329;TM Lunge
20330;TM Speed Swap
20331;TM Smart Strike
20332;TM Brutal Swing
20333;TM Aurora Veil
20334;TM Psychic Fangs
20335;TM Stomping Tantrum
20336;TM Liquidation
20337;TM Body Press
20338;TM Breaking Swipe
20339;TM Steel Beam
20340;TM Expanding Force
20341;TM Steel Roller
20342;TM Scale Shot
20343;TM Meteor Beam
20344;TM Misty Explosion
20345;TM Grassy Glide
20346;TM Rising Voltage
20347;TM Terrain Pulse
20348;TM Skitter Smack
20349;TM Burning Jealousy
20350;TM Lash Out
20351;TM Poltergeist
20352;TM Corrosive Gas
20353;TM Coaching
20354;TM Flip Turn
20355;TM Triple Axel
20356;TM Dual Wingbeat
20357;TM Scorching Sands
20358;TM Power Shift
20359;TM Tera Blast
20360;TM Ice Spinner
20361;TM Pounce
20362;TM Trailblaze
20363;TM Chilling Water
20364;TM Hard Press
20365;TM Dragon Cheer
20366;TM Alluring Voice
20367;TM Temper Flare
20368;TM Supercell Slam
20369;TM Psychic Noise
20370;TM Upper Hand
21000;Ice Stone
21001;Sachet
21002;Whipped Dream
21003;Tart Apple
21004;Sweet Apple
21005;Syrupy Apple
21006;Cracked Pot
21007;Chipped Pot
21008;Galarica Cuff
21009;Galarica Wreath
21011;Black Augurite
21012;Peat Block
21013;Malicious Armor
21014;Auspicious Armor
21015;Masterpiece Teacup
21016;Unremarkable Teacup
21017;Scroll of Darkness
21018;Scroll of Waters
21019;Metal Alloy
22000;Strange Ball
22001;Beast Ball
22002;Max Honey
22003;Pewter Crunchies
22004;Lumiose Galette
22005;Shalour Sable
22006;Big Malasada
22007;Ability Capsule
22008;Lonely Mint
22009;Adamant Mint
22010;Naughty Mint
22011;Brave Mint
22012;Bold Mint
22013;Impish Mint
22014;Lax Mint
22015;Relaxed Mint
22016;Modest Mint
22017;Mild Mint
22018;Rash Mint
22019;Quiet Mint
22020;Calm Mint
22021;Gentle Mint
22022;Careful Mint
22023;Sassy Mint
22024;Timid Mint
22025;Hasty Mint
22026;Jolly Mint
22027;Naive Mint
22028;Serious Mint
22029;Dynamax Candy
22030;Max Lure
22031;Max Mushrooms
22032;Bottle Cap
22033;Gold Bottle Cap
22034;Strange Souvenir
22035;Jaw Fossil
22036;Sail Fossil
22037;Fossilized Bird
22038;Fossilized Fish
22039;Fossilized Drake
22040;Fossilized Dino
22041;Rich Mulch
22042;Surprise Mulch
22043;Boost Mulch
22044;Amaze Mulch
22045;Blue Apricorn
22046;Yellow Apricorn
22047;Green Apricorn
22048;Pink Apricorn
22049;White Apricorn
22050;Black Apricorn
22051;Wishing Piece
22052;Galarica Twig
22053;Armorite Ore
22054;Dynite Ore
22055;Strawberry Sweet
22056;Love Sweet
22057;Berry Sweet
22058;Clover Sweet
22059;Flower Sweet
22060;Star Sweet
22061;Ribbon Sweet
22062;Red Nectar
22063;Yellow Nectar
22064;Pink Nectar
22065;Purple Nectar
22066;Pixie Plate
