692;1;5219;Mental Herb
693;1;5219;Mental Herb
719;1;5221;King's Rock
722;1;5295;Shed Shell
723;1;5295;Shed Shell
749;0;1139;Oran Berry
750;1;1142;Sitrus Berry
751;0;1142;Sitrus Berry
752;1;1135;Pecha Berry
753;1;1135;Pecha Berry
755;1;5546;Cell Battery
757;1;1137;Aspear Berry
758;1;1133;Cheri Berry
759;1;22062;Red Nectar
760;0;5094;Honey
761;0;5094;Honey
765;1;5245;Poison Barb
766;1;5245;Poison Barb
767;1;5269;Light Clay
768;1;5269;Light Clay
769;1;5243;Mystic Water
770;1;5243;Mystic Water
771;1;5239;Miracle Seed
772;1;5239;Miracle Seed
773;0;5086;TinyMushroom
773;1;5087;Big Mushroom
774;0;5086;TinyMushroom
774;1;5087;Big Mushroom
775;1;5228;Smoke Ball
776;1;5228;Smoke Ball
779;1;22217;Grassy Seed
780;1;22217;Grassy Seed
781;0;22217;Grassy Seed
782;1;22216;Misty Seed
787;1;5247;Spell Tag
788;1;5247;Spell Tag
792;0;5238;Hard Stone
794;1;5249;Charcoal
795;1;22214;Electric Seed
796;1;1134;Chesto Berry
797;1;5327;Razor Fang
798;1;1140;Persim Berry
800;1;5326;Razor Claw
801;1;5326;Razor Claw
802;0;5326;Razor Claw
837;1;1139;Oran Berry
838;1;1142;Sitrus Berry
843;1;22215;Psychic Seed
844;1;22215;Psychic Seed
890;1;1520;Snowball
896;1;5279;Lagging Tail
897;1;5279;Lagging Tail
1101;1;5245;Poison Barb
1103;1;5248;TwistedSpoon
1104;1;5221;King's Rock
1113;1;5233;Metal Coat
1124;1;5238;Hard Stone
1127;1;5226;DeepSeaTooth
1130;1;5247;Spell Tag
1133;1;5250;Dragon Fang
1134;1;5233;Metal Coat
1140;1;5246;NeverMeltIce
1142;0;1139;Oran Berry
1142;1;1142;Sitrus Berry
1147;1;1135;Pecha Berry
1148;1;1135;Pecha Berry
1150;1;5286;Grip Claw
1151;1;5286;Grip Claw
1152;1;1520;Snowball
1153;1;1520;Snowball
1154;1;5237;Soft Sand
1155;1;5237;Soft Sand
1156;1;5217;Quick Claw
1157;1;5217;Quick Claw
1158;1;5546;Cell Battery
1159;1;5546;Cell Battery
1160;0;5546;Cell Battery
1161;1;5281;Black Sludge
1162;1;5281;Black Sludge
1164;1;5258;Thick Club
1169;1;5221;King's Rock
1171;1;22216;Misty Seed
1189;1;5245;Poison Barb
1190;1;5217;Quick Claw
1192;1;5545;Absorb Bulb
1196;1;5295;Shed Shell
1200;1;5236;Light Ball
1201;1;5236;Light Ball
1202;1;5236;Light Ball
1203;1;5236;Light Ball
1204;1;5236;Light Ball
1205;1;5236;Light Ball
1206;1;5236;Light Ball
1207;1;5236;Light Ball
1208;1;5236;Light Ball
1209;1;5236;Light Ball
1210;1;5236;Light Ball
1211;1;5236;Light Ball
1212;1;5236;Light Ball
1213;1;5236;Light Ball
1282;1;5227;DeepSeaScale
1350;0;5239;Miracle Seed
1350;1;5239;Miracle Seed
1353;0;5239;Miracle Seed
1353;1;5239;Miracle Seed
1360;1;22063;Yellow Nectar
1361;1;22064;Pink Nectar
1362;1;22065;Purple Nectar
1384;0;5238;Hard Stone
1385;0;5539;Float Stone
1386;0;5539;Float Stone
1387;0;5238;Hard Stone
1388;0;5238;Hard Stone
1389;0;5539;Float Stone
1390;0;5238;Hard Stone
1391;0;5238;Hard Stone
1392;0;5539;Float Stone
1393;0;5539;Float Stone
1394;0;5238;Hard Stone
1395;0;5238;Hard Stone
1396;0;5539;Float Stone
1397;1;1134;Chesto Berry
966;0;5086;TinyMushroom
966;1;5087;Big Mushroom
967;0;5086;TinyMushroom
967;1;5087;Big Mushroom
1055;1;22232;Booster Energy
1056;1;22232;Booster Energy
1057;1;22232;Booster Energy
1058;1;22232;Booster Energy
1059;1;22232;Booster Energy
1060;1;22232;Booster Energy
1061;1;22232;Booster Energy
1062;1;22232;Booster Energy
1063;1;22232;Booster Energy
1064;1;22232;Booster Energy
1065;1;22232;Booster Energy
1066;1;22232;Booster Energy
1076;1;22232;Booster Energy
1077;1;22232;Booster Energy
1080;1;22232;Booster Energy
1081;1;22232;Booster Energy
1091;1;22232;Booster Energy
1092;1;22232;Booster Energy
1093;1;22232;Booster Energy
1094;1;22232;Booster Energy
1506;1;5222;SilverPowder
1507;1;5222;SilverPowder
1546;1;1135;Pecha Berry
1547;1;1135;Pecha Berry
1549;1;5239;Miracle Seed
1550;1;5228;Smoke Ball
1551;1;1134;Chesto Berry
1552;0;5326;Razor Claw
1553;1;5258;Thick Club
1554;1;5094;Honey
1555;1;5243;Mystic Water
1556;1;22214;Electric Seed
1557;1;5236;Light Ball
1562;1;5222;SilverPowder
1563;1;5236;Light Ball
1564;1;5217;Quick Claw
1565;1;5230;Focus Band
1568;0;5243;Mystic Water
1568;1;5243;Mystic Water
1570;0;5234;Leftovers
1570;1;5234;Leftovers
1571;0;5251;Silk Scarf
1571;1;5281;Black Sludge
1577;1;22215;Psychic Seed
1589;1;5279;Lagging Tail
1593;1;1134;Chesto Berry
1594;1;5081;Moon Stone
1596;0;5090;Stardust
1596;1;5091;Star Piece
1597;1;5235;Dragon Scale
1600;1;5233;Metal Coat
1604;1;5245;Poison Barb
1605;1;5295;Shed Shell
1614;1;5221;King's Rock
1618;1;1140;Persim Berry
1625;1;5224;Cleanse Tag
1630;1;5269;Light Clay
1633;1;1133;Cheri Berry
