20000;1710
20001;1703
20002;1741
20003;1742
20004;1743
20005;1628
20006;5402
20007;339
20008;1630
20009;340
20011;1709
20012;1748
20013;1636
20014;1712
20015;1637
20016;1711
20017;1640
20018;5332
20019;5362
20020;1642
20021;1643
20022;341
20023;5340
20024;5341
20025;1720
20026;1644
20027;5342
20028;1645
20029;1746
20030;1707
20031;1718
20032;342
20033;1646
20034;5349
20036;1647
20037;1648
20038;5351
20039;5400
20040;5352
20041;5353
20042;1651
20043;5355
20044;5333
20045;5356
20046;1652
20047;1653
20048;1654
20049;1727
20050;1716
20051;1686
20052;5359
20053;1721
20055;5343
20056;1752
20057;5360
20058;1657
20059;1658
20060;1708
20061;1749
20062;1659
20063;5365
20064;345
20065;1724
20066;1660
20067;1661
20068;1713
20069;5412
20070;1623
20071;1767
20072;343
20073;1666
20074;5391
20075;5371
20076;5407
20077;1667
20078;1757
20079;5417
20080;5373
20083;1668
20084;1669
20085;1753
20086;5344
20087;1670
20088;5363
20089;1719
20090;1671
20091;1672
20092;1725
20093;1673
20094;1739
20095;5364
20096;1603
20097;1612
20098;1674
20099;1714
20100;5381
20101;5414
20102;1717
20103;1607
20104;5372
20105;1621
20107;5354
20108;5348
20109;5347
20110;1761
20111;1715
20112;1675
20113;1676
20114;1677
20115;1678
20116;1679
20117;1604
20118;1723
20120;5337
20122;5345
20123;5338
20124;1680
20125;5404
20126;1770
20127;5357
20128;1681
20129;344
20130;1682
20131;1683
20132;1759
20133;1737
20134;5334
20135;5368
20136;5388
20137;5369
20138;1600
20139;1624
20140;1751
20141;5339
20142;1745
20143;1734
20145;1750
20147;1616
20148;1684
20149;5358
20150;1755
20151;1760
20152;1608
20153;1685
20154;1609
20155;1606
20156;346
20157;1762
20158;1687
20160;1736
20163;1688
20164;1689
20165;1726
20166;5377
20167;5366
20168;1615
20169;1763
20170;1690
20172;1691
20173;1692
20174;1602
20175;5367
20176;1693
20177;1732
20179;5329
20181;5335
20183;1694
20184;1722
20187;1695
20188;5331
20189;1696
20190;1697
20191;1698
20192;1605
20193;1601
20194;1610
20195;1754
20196;5401
20197;1611
20198;1622
20199;5415
20200;1735
20201;5416
20202;1699
20203;5393
20204;1700
20205;5390
20206;5383
20208;1701
20209;1702
20213;1704
20215;1705
20216;1706
20217;5396
20218;5411
20219;1620
20221;1729
20222;1625
20223;5408
20224;1626
20225;1613
20226;1627
20227;1614
20228;1758
20229;5379
20230;5380
20231;1629
20232;1738
20233;5395
20234;1631
20235;1617
20236;5392
20237;1632
20238;1633
20239;1634
20240;1635
20241;1744
20242;5418
20243;8427
20244;8424
20245;5419
20246;1740
20247;1638
20248;1639
20249;1641
20250;1731
20251;1730
20252;5398
20253;1619
20254;1618
20255;5413
20256;1756
20257;5384
20258;1782
20259;5328
20261;5330
20262;5336
20263;5346
20265;5350
20266;5361
20267;1649
20268;1650
20269;5370
20270;5374
20271;1747
20272;1728
20274;5375
20275;5376
20276;1655
20277;5378
20278;5382
20279;1656
20280;5385
20281;5386
20282;5387
20283;5389
20284;5394
20288;5399
20289;5403
20290;5405
20291;5406
20292;5409
20293;5410
20294;1764
20295;5618
20296;1733
20297;1772
20298;1662
20299;1663
20300;1664
20301;1665
20304;5620
22283;1018
