1;0;65;Overgrow
1;1;65;Overgrow
1;2;34;Chlorophyll
2;0;65;Overgrow
2;1;65;Overgrow
2;2;34;Chlorophyll
3;0;65;Overgrow
3;1;65;Overgrow
3;2;34;Chlorophyll
4;0;66;Blaze
4;1;66;Blaze
4;2;94;Solar Power
5;0;66;Blaze
5;1;66;Blaze
5;2;94;Solar Power
6;0;66;Blaze
6;1;66;Blaze
6;2;94;Solar Power
7;0;67;Torrent
7;1;67;Torrent
7;2;44;Rain Dish
8;0;67;Torrent
8;1;67;Torrent
8;2;44;Rain Dish
9;0;67;Torrent
9;1;67;Torrent
9;2;44;Rain Dish
10;0;19;Shield Dust
10;1;19;Shield Dust
10;2;50;Run Away
11;0;61;Shed Skin
11;1;61;Shed Skin
11;2;61;Shed Skin
12;0;14;Compoundeyes
12;1;14;Compoundeyes
12;2;110;Tinted Lens
13;0;19;Shield Dust
13;1;19;Shield Dust
13;2;50;Run Away
14;0;61;Shed Skin
14;1;61;Shed Skin
14;2;61;Shed Skin
15;0;68;Swarm
15;1;68;Swarm
15;2;97;Sniper
16;0;51;Keen Eye
16;1;77;Tangled Feet
16;2;145;Big Pecks
17;0;51;Keen Eye
17;1;77;Tangled Feet
17;2;145;Big Pecks
18;0;51;Keen Eye
18;1;77;Tangled Feet
18;2;145;Big Pecks
19;0;50;Run Away
19;1;62;Guts
19;2;55;Hustle
20;0;50;Run Away
20;1;62;Guts
20;2;55;Hustle
21;0;51;Keen Eye
21;1;51;Keen Eye
21;2;97;Sniper
22;0;51;Keen Eye
22;1;51;Keen Eye
22;2;97;Sniper
23;0;22;Intimidate
23;1;61;Shed Skin
23;2;127;Unnerve
24;0;22;Intimidate
24;1;61;Shed Skin
24;2;127;Unnerve
25;0;9;Static
25;1;9;Static
25;2;31;Lightningrod
26;0;9;Static
26;1;9;Static
26;2;31;Lightningrod
27;0;8;Sand Veil
27;1;8;Sand Veil
27;2;146;Sand Rush
28;0;8;Sand Veil
28;1;8;Sand Veil
28;2;146;Sand Rush
29;0;38;Poison Point
29;1;79;Rivalry
29;2;55;Hustle
30;0;38;Poison Point
30;1;79;Rivalry
30;2;55;Hustle
31;0;38;Poison Point
31;1;79;Rivalry
31;2;125;Sheer Force
32;0;38;Poison Point
32;1;79;Rivalry
32;2;55;Hustle
33;0;38;Poison Point
33;1;79;Rivalry
33;2;55;Hustle
34;0;38;Poison Point
34;1;79;Rivalry
34;2;125;Sheer Force
35;0;56;Cute Charm
35;1;98;Magic Guard
35;2;132;Friend Guard
36;0;56;Cute Charm
36;1;98;Magic Guard
36;2;109;Unaware
37;0;18;Flash Fire
37;1;18;Flash Fire
37;2;70;Drought
38;0;18;Flash Fire
38;1;18;Flash Fire
38;2;70;Drought
39;0;56;Cute Charm
39;1;545;Competitive
39;2;132;Friend Guard
40;0;56;Cute Charm
40;1;545;Competitive
40;2;119;Frisk
41;0;39;Inner Focus
41;1;39;Inner Focus
41;2;151;Infiltrator
42;0;39;Inner Focus
42;1;39;Inner Focus
42;2;151;Infiltrator
43;0;34;Chlorophyll
43;1;34;Chlorophyll
43;2;50;Run Away
44;0;34;Chlorophyll
44;1;34;Chlorophyll
44;2;1;Stench
45;0;34;Chlorophyll
45;1;34;Chlorophyll
45;2;27;Effect Spore
46;0;27;Effect Spore
46;1;87;Dry Skin
46;2;6;Damp
47;0;27;Effect Spore
47;1;87;Dry Skin
47;2;6;Damp
48;0;14;Compoundeyes
48;1;110;Tinted Lens
48;2;50;Run Away
49;0;19;Shield Dust
49;1;110;Tinted Lens
49;2;147;Wonder Skin
50;0;8;Sand Veil
50;1;71;Arena Trap
50;2;159;Sand Force
