2;0;0;9;50;226
2;1;0;7;19;13
2;2;0;7;12;209
2;3;0;7;12;209
2;4;0;7;12;209
2;5;0;13;24;213
2;6;0;781;587;0
2;7;0;12;43;51
2;8;0;7;19;13
2;9;0;7;10;26
2;10;0;10;2;134
2;11;0;7;10;26
2;12;0;10;2;27
2;13;0;7;10;26
2;14;0;10;2;32
2;15;0;8;15;29
2;16;0;657;585;0
2;17;0;12;28;52
2;18;0;9;30;55
2;19;0;4;19;120
2;20;0;7;19;13
2;21;0;6;10;169
2;22;0;6;10;31
2;23;0;6;10;31
2;24;0;6;10;31
2;25;0;6;10;49
2;26;0;8;15;30
2;27;0;15;4;50
2;28;0;2;7;132
2;29;0;32;48;56
2;30;0;15;0;1
2;31;0;15;16;2
2;32;0;15;16;3
2;33;0;15;63;4
2;34;0;15;63;5
2;35;0;15;63;6
2;36;0;0;1;7
2;37;0;17;3;8
2;38;0;15;1;9
2;39;0;14;3;10
2;40;0;1;9;11
2;41;0;7;19;13
2;42;0;7;12;177
2;43;0;9;12;48
2;44;0;7;12;33
2;45;0;5;4;34
2;46;0;5;4;43
2;47;0;7;12;243
2;48;0;5;4;43
2;49;0;7;12;33
2;50;0;5;4;43
2;51;0;5;14;139
2;52;0;8;24;179
2;53;0;5;10;192
2;54;0;7;12;33
2;55;0;5;4;43
2;56;0;7;12;33
2;57;0;5;4;43
2;58;0;7;12;33
2;59;0;5;4;34
2;60;0;7;12;33
2;61;0;5;4;34
2;62;0;430;479;0
2;63;0;14;45;57
2;64;0;9;12;107
2;65;0;7;19;13
2;66;0;10;-4;101
2;67;0;2;11;165
2;68;0;2;11;165
2;69;0;2;11;165
2;70;0;2;11;165
2;71;0;2;11;165
2;72;0;2;11;165
2;73;0;2;11;165
2;74;0;2;11;165
2;75;0;5;4;167
2;76;0;5;4;166
2;77;0;14;20;58
2;78;0;5;4;116
2;79;0;11;19;98
2;80;0;16;29;221
2;81;0;9;29;105
2;82;0;9;61;222
2;83;0;10;29;176
2;84;0;11;19;99
2;85;0;16;29;223
2;86;0;6;25;100
2;87;0;6;25;220
2;88;0;7;10;26
2;89;0;10;2;27
2;90;0;5;1;12
2;91;0;15;4;50
2;92;0;15;4;50
2;93;0;7;13;241
2;94;0;8;2;26
2;95;0;10;2;27
2;96;0;246;431;0
2;97;0;5;4;61
2;98;0;7;15;180
2;99;0;7;19;13
2;100;0;5;9;46
2;101;0;5;9;46
2;102;0;5;9;46
2;103;0;5;9;46
2;104;0;7;18;59
2;105;0;9;18;60
2;106;0;6;9;44
2;107;0;108;304;0
2;108;0;15;40;62
2;109;0;7;19;13
2;110;0;5;9;46
2;111;0;14;24;63
2;112;0;5;9;46
2;113;0;183;167;0
2;114;0;17;63;64
2;115;0;7;19;13
2;116;0;5;9;46
2;117;0;6;9;44
2;118;0;5;9;46
2;119;0;5;9;46
2;120;0;384;174;0
2;121;0;27;50;66
2;122;0;7;19;13
2;123;0;9;14;68
2;124;0;9;4;161
2;125;0;9;14;68
2;126;0;9;4;161
2;127;0;9;14;68
2;128;0;9;4;161
2;129;0;9;14;68
2;130;0;9;4;161
2;131;0;1;4;50
2;132;0;5;14;12
2;133;0;1;4;50
2;134;0;9;14;68
2;135;0;9;4;161
2;136;0;32;58;87
