obj;2;1;0;0;0;70;0;0;657;10397;3;0;0;5;18;0;0
obj;2;1;0;1;1;79;0;0;0;2101;1;0;0;4;4;0;0
obj;2;1;0;2;2;82;0;0;0;10100;1;0;0;7;4;0;0
obj;2;1;0;3;3;81;0;0;0;10105;1;0;0;10;4;0;0
obj;2;1;0;4;4;78;15;0;0;2100;1;0;0;7;10;0;0
obj;2;1;0;5;5;77;16;0;0;1;2;0;0;11;16;0;0
obj;2;1;0;6;6;77;16;0;0;2;2;0;0;11;18;0;0
obj;2;1;0;7;7;48;0;0;0;3;1;0;0;4;14;0;0
obj;2;2;0;0;0;19;3;0;0;1;1;3;3;6;5;0;0
obj;2;2;0;1;1;21;0;0;0;2;1;0;0;9;10;0;0
obj;2;3;0;0;0;24;0;0;0;1;1;0;0;6;5;0;0
obj;2;3;0;1;1;22;0;0;0;2;1;0;0;8;5;0;0
obj;2;3;0;2;2;10;44;0;0;3;1;2;2;7;7;0;0
obj;2;4;0;0;0;18;0;0;0;1;0;0;0;12;6;0;0
obj;2;4;0;1;1;20;0;0;0;2;3;0;0;9;7;0;0
obj;2;5;0;0;0;13;0;0;0;3;1;0;0;11;20;0;0
obj;2;5;0;1;1;25;0;0;0;4;2;0;0;25;13;0;0
obj;2;5;0;2;2;20;0;0;627;5;1;0;0;18;13;0;0
obj;2;5;0;3;3;26;0;0;627;6;3;0;0;1;12;0;0
obj;2;5;0;4;4;24;0;0;628;7;1;0;0;16;5;0;0
obj;2;5;0;5;5;61;0;0;628;8;1;0;0;17;5;0;0
obj;2;5;0;6;6;23;0;0;629;9;3;0;0;7;21;0;0
obj;2;5;0;7;7;28;0;0;630;10;2;0;0;18;22;0;0
obj;2;5;0;8;8;44;0;0;0;2;1;0;0;8;5;0;0
obj;2;5;0;9;9;77;0;0;0;11;1;0;0;13;18;0;0
obj;2;5;0;10;10;77;0;0;629;14;2;0;0;22;6;0;0
obj;2;5;0;11;11;77;0;0;628;13;2;0;0;22;21;0;0
obj;2;5;0;12;12;77;0;0;627;12;3;0;0;4;6;0;0
obj;2;5;0;13;13;77;0;0;630;15;3;0;0;4;21;0;0
obj;2;5;0;14;14;61;0;0;0;16;1;0;0;4;15;0;0
obj;2;5;0;15;15;48;0;0;0;17;1;0;0;22;15;0;0
obj;2;6;0;0;0;61;3;0;0;1;1;1;1;772;589;0;0
obj;2;6;0;1;1;11;3;0;0;2;1;1;1;777;593;0;0
obj;2;6;0;2;2;28;3;0;0;3;1;1;2;771;594;0;0
obj;2;6;0;3;3;22;29;0;0;5;2;6;6;753;594;0;0
obj;2;6;0;4;4;35;3;0;0;4;1;2;2;783;591;0;0
